,subspace,n_components,lambda,layer,score
406,xs,2,0.0,20,0.11
407,full,2,0.0,20,0.24
408,xs,2,0.0,21,0.15
409,full,2,0.0,21,0.25
410,xs,2,0.0,22,0.28
411,full,2,0.0,22,0.28
412,xs,2,0.0,23,0.03
413,full,2,0.0,23,0.28
414,xs,2,0.05,1,0.3
415,full,2,0.05,1,0.26
416,xs,2,0.05,2,0.36
417,full,2,0.05,2,0.27
418,xs,2,0.05,3,0.24
419,full,2,0.05,3,0.23
420,xs,2,0.05,4,0.23
421,full,2,0.05,4,0.31
422,xs,2,0.05,5,0.28
423,full,2,0.05,5,0.33
424,xs,2,0.05,6,0.06
425,full,2,0.05,6,0.27
426,xs,2,0.05,7,0.17
427,full,2,0.05,7,0.23
428,xs,2,0.05,8,0.25
429,full,2,0.05,8,0.23
430,xs,2,0.05,9,0.24
431,full,2,0.05,9,0.3
432,xs,2,0.05,10,0.31
433,full,2,0.05,10,0.25
434,xs,2,0.05,11,0.34
435,full,2,0.05,11,0.31
436,xs,2,0.05,12,0.18
437,full,2,0.05,12,0.32
438,xs,2,0.05,13,0.21
439,full,2,0.05,13,0.27
440,xs,2,0.05,14,0.25
441,full,2,0.05,14,0.26
442,xs,2,0.05,15,0.25
443,full,2,0.05,15,0.26
444,xs,2,0.05,16,0.39
445,full,2,0.05,16,0.28
446,xs,2,0.05,17,0.22
447,full,2,0.05,17,0.22
448,xs,2,0.05,18,0.31
449,full,2,0.05,18,0.24
450,xs,2,0.05,19,0.21
451,full,2,0.05,19,0.26
452,xs,2,0.05,20,0.14
453,full,2,0.05,20,0.23
454,xs,2,0.05,21,0.18
455,full,2,0.05,21,0.22
456,xs,2,0.05,22,0.3
457,full,2,0.05,22,0.27
458,xs,2,0.05,23,0.05
459,full,2,0.05,23,0.26
460,xs,2,0.1,1,0.28
461,full,2,0.1,1,0.24
462,xs,2,0.1,2,0.35
463,full,2,0.1,2,0.26
464,xs,2,0.1,3,0.25
465,full,2,0.1,3,0.25
466,xs,2,0.1,4,0.23
467,full,2,0.1,4,0.29
468,xs,2,0.1,5,0.29
469,full,2,0.1,5,0.33
470,xs,2,0.1,6,0.09
471,full,2,0.1,6,0.28
472,xs,2,0.1,7,0.18
473,full,2,0.1,7,0.26
474,xs,2,0.1,8,0.29
475,full,2,0.1,8,0.26
476,xs,2,0.1,9,0.25
477,full,2,0.1,9,0.28
478,xs,2,0.1,10,0.28
479,full,2,0.1,10,0.26
480,xs,2,0.1,11,0.35
481,full,2,0.1,11,0.3
482,xs,2,0.1,12,0.19
483,full,2,0.1,12,0.33
484,xs,2,0.1,13,0.22
485,full,2,0.1,13,0.25
486,xs,2,0.1,14,0.27
487,full,2,0.1,14,0.24
488,xs,2,0.1,15,0.28
489,full,2,0.1,15,0.3
490,xs,2,0.1,16,0.36
491,full,2,0.1,16,0.27
492,xs,2,0.1,17,0.23
493,full,2,0.1,17,0.23
494,xs,2,0.1,18,0.31
495,full,2,0.1,18,0.23
496,xs,2,0.1,19,0.21
497,full,2,0.1,19,0.26
498,xs,2,0.1,20,0.09
499,full,2,0.1,20,0.23
500,xs,2,0.1,21,0.15
501,full,2,0.1,21,0.23
502,xs,2,0.1,22,0.32
503,full,2,0.1,22,0.27
504,xs,2,0.1,23,0.08
505,full,2,0.1,23,0.28
506,xs,2,0.15,1,0.29
507,full,2,0.15,1,0.25
508,xs,2,0.15,2,0.33
509,full,2,0.15,2,0.27
510,xs,2,0.15,3,0.23
511,full,2,0.15,3,0.27
512,xs,2,0.15,4,0.22
513,full,2,0.15,4,0.26
514,xs,2,0.15,5,0.28
515,full,2,0.15,5,0.34
516,xs,2,0.15,6,0.07
517,full,2,0.15,6,0.29
518,xs,2,0.15,7,0.19
519,full,2,0.15,7,0.24
520,xs,2,0.15,8,0.26
521,full,2,0.15,8,0.23
522,xs,2,0.15,9,0.26
523,full,2,0.15,9,0.32
524,xs,2,0.15,10,0.28
525,full,2,0.15,10,0.25
526,xs,2,0.15,11,0.34
527,full,2,0.15,11,0.29
528,xs,2,0.15,12,0.22
529,full,2,0.15,12,0.34
530,xs,2,0.15,13,0.22
531,full,2,0.15,13,0.26
532,xs,2,0.15,14,0.23
533,full,2,0.15,14,0.26
534,xs,2,0.15,15,0.27
535,full,2,0.15,15,0.31
536,xs,2,0.15,16,0.4
537,full,2,0.15,16,0.28
538,xs,2,0.15,17,0.24
539,full,2,0.15,17,0.22
540,xs,2,0.15,18,0.33
541,full,2,0.15,18,0.24
542,xs,2,0.15,19,0.22
543,full,2,0.15,19,0.24
544,xs,2,0.15,20,0.13
545,full,2,0.15,20,0.22
546,xs,2,0.15,21,0.14
547,full,2,0.15,21,0.24
548,xs,2,0.15,22,0.29
549,full,2,0.15,22,0.25
550,xs,2,0.15,23,0.1
551,full,2,0.15,23,0.3
552,xs,2,0.2,1,0.27
553,full,2,0.2,1,0.27
554,xs,2,0.2,2,0.32
555,full,2,0.2,2,0.24
556,xs,2,0.2,3,0.22
557,full,2,0.2,3,0.26
558,xs,2,0.2,4,0.21
559,full,2,0.2,4,0.27
560,xs,2,0.2,5,0.29
561,full,2,0.2,5,0.38
562,xs,2,0.2,6,0.08
563,full,2,0.2,6,0.29
564,xs,2,0.2,7,0.2
565,full,2,0.2,7,0.22
566,xs,2,0.2,8,0.29
567,full,2,0.2,8,0.24
568,xs,2,0.2,9,0.25
569,full,2,0.2,9,0.27
570,xs,2,0.2,10,0.29
571,full,2,0.2,10,0.3
572,xs,2,0.2,11,0.36
573,full,2,0.2,11,0.28
574,xs,2,0.2,12,0.2
575,full,2,0.2,12,0.33
576,xs,2,0.2,13,0.19
577,full,2,0.2,13,0.31
578,xs,2,0.2,14,0.23
579,full,2,0.2,14,0.24
580,xs,2,0.2,15,0.25
581,full,2,0.2,15,0.34
582,xs,2,0.2,16,0.38
583,full,2,0.2,16,0.29
584,xs,2,0.2,17,0.23
585,full,2,0.2,17,0.24
586,xs,2,0.2,18,0.3
587,full,2,0.2,18,0.23
588,xs,2,0.2,19,0.2
589,full,2,0.2,19,0.23
590,xs,2,0.2,20,0.18
591,full,2,0.2,20,0.24
592,xs,2,0.2,21,0.14
593,full,2,0.2,21,0.19
594,xs,2,0.2,22,0.29
595,full,2,0.2,22,0.24
596,xs,2,0.2,23,0.13
597,full,2,0.2,23,0.31
598,xs,2,0.25,1,0.26
599,full,2,0.25,1,0.26
600,xs,2,0.25,2,0.3
601,full,2,0.25,2,0.27
602,xs,2,0.25,3,0.23
603,full,2,0.25,3,0.24
604,xs,2,0.25,4,0.23
605,full,2,0.25,4,0.28
606,xs,2,0.25,5,0.32
607,full,2,0.25,5,0.36
608,xs,2,0.25,6,0.07
609,full,2,0.25,6,0.29
610,xs,2,0.25,7,0.2
611,full,2,0.25,7,0.25
612,xs,2,0.25,8,0.3
613,full,2,0.25,8,0.22
614,xs,2,0.25,9,0.25
615,full,2,0.25,9,0.28
616,xs,2,0.25,10,0.28
617,full,2,0.25,10,0.25
618,xs,2,0.25,11,0.34
619,full,2,0.25,11,0.28
620,xs,2,0.25,12,0.2
621,full,2,0.25,12,0.37
